date,YR,MTH,DAY,DIR,SPD,TEMPc,DEWPc,RelHUM,SD,PRCP,Mean Daily Max 8-hr Ozone Concentration,Total_Count,Tcount_abvMedian,GBTpredict2014,GBTacc,color0,color1
2014-01-18,2014,1,18,179.33333333333337,8.166666666666666,2.9259259259259247,-1.6481481481481484,77.12962962962959,0.0,0.07,0.017,253.0,0,1,False,#bebebe,#f00
2014-01-19,2014,1,19,249.64285714285717,12.714285714285715,-1.7063492063492067,-9.027777777777775,63.39285714285714,0.0,0.0,0.01575,291.0,1,1,True,#a4a4a4,#f00
2014-01-20,2014,1,20,237.85714285714286,12.535714285714285,3.6507936507936503,-4.742063492063491,58.03571428571429,0.0,0.0,0.02525,303.0,1,1,True,#9c9c9c,#f00
2014-01-21,2014,1,21,171.03448275862067,15.344827586206891,-4.0038314176245215,-10.038314176245212,69.82758620689657,0.3448275862068966,0.46,0.02525,291.0,1,1,True,#a4a4a4,#f00
2014-01-22,2014,1,22,336.42857142857144,18.142857142857142,-11.428571428571432,-18.29365079365079,65.67460317460318,2.571428571428572,0.02,0.025333333333333333,281.0,1,1,True,#ababab,#f00
2014-01-23,2014,1,23,282.5,10.857142857142858,-10.992063492063494,-19.027777777777764,59.82142857142857,2.0,0.0,0.021,335.0,1,1,True,#868686,#f00
2014-01-24,2014,1,24,271.07142857142856,10.714285714285714,-10.039682539682538,-18.154761904761923,59.424603174603185,1.6071428571428572,0.0,0.02466666666666667,299.0,1,1,True,#9e9e9e,#f00
2014-01-25,2014,1,25,207.66666666666663,14.233333333333333,-6.185185185185188,-12.518518518518515,68.33333333333334,1.0333333333333334,0.04,0.02125,247.0,0,1,False,#c2c2c2,#f00
2014-01-26,2014,1,26,247.85714285714286,13.5,-6.527777777777778,-13.670634920634921,64.28571428571428,1.3571428571428572,0.0,0.0295,279.0,1,1,True,#acacac,#f00
2014-01-27,2014,1,27,153.57142857142858,8.035714285714286,-1.1309523809523807,-8.253968253968255,64.38492063492063,0.8928571428571429,0.0,0.02625,332.0,1,1,True,#888,#f00
2014-01-28,2014,1,28,341.7857142857143,11.821428571428573,-7.896825396825397,-20.21825396825397,38.392857142857146,0.32142857142857145,0.0,0.025,305.0,1,1,True,#9a9a9a,#f00
2014-01-29,2014,1,29,276.07142857142856,10.285714285714286,-8.31349206349206,-17.539682539682545,53.86904761904764,0.21428571428571427,0.04,0.02175,248.0,0,1,False,#c1c1c1,#f00
2014-01-30,2014,1,30,220.0,6.821428571428571,-7.202380952380952,-17.341269841269842,49.30555555555557,0.2857142857142857,0.0,0.013,286.0,1,1,True,#a7a7a7,#f00
2014-01-31,2014,1,31,235.0,8.142857142857142,-2.103174603174604,-11.210317460317464,54.46428571428571,0.17857142857142858,0.0,0.009000000000000001,295.0,1,1,True,#a1a1a1,#f00
2014-02-01,2014,2,1,119.28571428571428,3.571428571428572,2.4404761904761902,-6.428571428571429,55.654761904761905,0.0,0.0,0.01325,281.0,1,1,True,#ababab,#f00
2014-02-02,2014,2,2,113.44827586206895,3.310344827586207,3.8697318007662833,-0.019157088122605213,80.55555555555553,0.0,0.0,0.01125,267.0,0,1,False,#b4b4b4,#f00
2014-02-03,2014,2,3,163.92857142857142,11.678571428571427,2.1230158730158726,-0.15873015873015875,88.59126984126979,0.75,1.17,0.01575,303.0,1,1,True,#9c9c9c,#f00
2014-02-04,2014,2,4,131.07142857142858,5.607142857142856,-2.5,-6.289682539682537,81.05158730158729,2.0,0.0,0.019500000000000003,321.0,1,0,False,#909090,#00f
2014-02-05,2014,2,5,125.625,9.0,-0.01736111111111116,-1.822916666666667,90.97222222222216,1.46875,1.43,0.01925,263.0,0,1,False,#b7b7b7,#f00
2014-02-06,2014,2,6,292.5,9.5,-2.301587301587301,-7.1230158730158735,75.89285714285714,1.5714285714285714,0.0,0.0245,299.0,1,1,True,#9e9e9e,#f00
2014-02-07,2014,2,7,249.28571428571428,9.535714285714286,-3.055555555555556,-8.988095238095239,70.33730158730158,2.2857142857142856,0.0,0.024,279.0,1,0,False,#acacac,#00f
2014-02-08,2014,2,8,261.07142857142856,6.7142857142857135,-3.948412698412697,-13.392857142857144,52.77777777777778,2.25,0.0,0.02375,257.0,0,0,True,#bbb,#00f
2014-02-09,2014,2,9,152.14285714285714,5.0,-4.3650793650793664,-12.400793650793648,59.82142857142858,2.0357142857142856,0.1,0.0245,254.0,0,1,False,#bdbdbd,#f00
2014-02-10,2014,2,10,269.31034482758616,9.689655172413792,-4.348659003831418,-10.249042145593874,70.49808429118771,2.4482758620689653,0.0,0.03225,368.0,1,0,False,#707070,#00f
2014-02-11,2014,2,11,360.0,9.535714285714286,-6.011904761904763,-15.297619047619044,53.57142857142857,2.4642857142857144,0.0,0.0305,316.0,1,0,False,#939393,#00f
2014-02-12,2014,2,12,268.2142857142857,10.107142857142858,-7.857142857142858,-15.595238095238091,61.309523809523824,2.2857142857142856,0.0,0.02233333333333333,275.0,1,0,False,#afafaf,#00f
2014-02-13,2014,2,13,25.517241379310345,17.206896551724142,-2.1647509578544057,-4.061302681992338,90.51724137931032,3.2758620689655173,1.78,0.02633333333333333,191.0,0,0,True,#e8e8e8,#00f
2014-02-14,2014,2,14,245.5555555555556,20.259259259259263,1.8312757201646093,-2.407407407407407,78.80658436213989,4.407407407407407,0.3,0.032,245.0,0,0,True,#c3c3c3,#00f
2014-02-15,2014,2,15,132.75862068965515,9.034482758620687,0.7471264367816093,-3.0076628352490435,81.22605363984671,3.724137931034482,0.13,0.03366666666666667,245.0,0,0,True,#c3c3c3,#00f
2014-02-16,2014,2,16,292.85714285714283,13.964285714285715,-3.353174603174604,-10.396825396825397,64.78174603174602,4.678571428571429,0.0,0.03266666666666667,262.0,0,0,True,#b7b7b7,#00f
2014-02-17,2014,2,17,272.5,9.107142857142858,-4.603174603174602,-15.079365079365074,47.61904761904764,4.535714285714286,0.0,0.03166666666666667,353.0,1,0,False,#7a7a7a,#00f
2014-02-18,2014,2,18,148.33333333333334,5.7,-0.3888888888888887,-5.870370370370371,72.5925925925926,4.2,0.16,0.018000000000000002,299.0,1,0,False,#9e9e9e,#00f
2014-02-19,2014,2,19,123.79310344827586,4.0344827586206895,1.9348659003831417,-1.3984674329501925,83.33333333333331,4.0,0.26,0.025666666666666667,248.0,0,0,True,#c1c1c1,#00f
2014-02-20,2014,2,20,232.14285714285717,5.5357142857142865,4.8015873015873,-2.162698412698413,65.17857142857143,3.1785714285714284,0.03,0.02366666666666667,266.0,0,1,False,#b5b5b5,#f00
2014-02-21,2014,2,21,87.66666666666669,6.7,3.2037037037037037,2.3148148148148144,95.55555555555551,2.7333333333333334,0.09,0.02266666666666667,232.0,0,0,True,#ccc,#00f
2014-02-22,2014,2,22,221.42857142857144,10.642857142857142,4.722222222222221,-1.6468253968253967,68.1547619047619,2.321428571428572,0.0,0.03066666666666666,245.0,0,0,True,#c3c3c3,#00f
2014-02-23,2014,2,23,98.21428571428572,3.2857142857142856,7.0436507936507935,-2.46031746031746,52.48015873015874,1.1428571428571428,0.0,0.03366666666666667,257.0,0,1,False,#bbb,#f00
2014-02-24,2014,2,24,278.27586206896547,14.310344827586205,4.099616858237547,-6.149425287356322,48.754789272030656,0.06896551724137931,0.0,0.037000000000000005,294.0,1,1,True,#a2a2a2,#f00
2014-02-25,2014,2,25,269.64285714285717,12.214285714285715,-1.6865079365079367,-11.4484126984127,51.19047619047621,0.0,0.0,0.028333333333333325,300.0,1,1,True,#9e9e9e,#f00
2014-02-26,2014,2,26,262.0689655172414,10.24137931034483,-2.4521072796934864,-11.321839080459773,55.65134099616858,0.0,0.03,0.029666666666666664,280.0,1,1,True,#ababab,#f00
2014-02-27,2014,2,27,211.03448275862067,10.482758620689657,-4.25287356321839,-16.302681992337167,39.75095785440613,0.0,0.0,0.03166666666666667,278.0,1,1,True,#adadad,#f00
2014-02-28,2014,2,28,352.8571428571428,11.357142857142858,-8.313492063492065,-21.80555555555555,32.53968253968255,0.0,0.0,0.031,253.0,0,0,True,#bebebe,#00f
2014-03-01,2014,3,1,219.28571428571428,4.071428571428571,-3.472222222222221,-14.305555555555555,45.83333333333333,0.0,0.0,0.023,225.0,0,1,False,#d1d1d1,#f00
2014-03-02,2014,3,2,226.78571428571428,4.892857142857143,2.242063492063492,-6.527777777777778,56.15079365079366,0.0,0.0,0.0305,238.0,0,1,False,#c8c8c8,#f00
