,Date,YR,MTH,DAY,DIR,SPD,TEMPc,DEWPc,RelHUM,SD,TAVE (C),SNOW (in),PRCP (in),Mean Daily Max 8-hr Ozone Concentration,Daily Mean PM2.5 Concentration,Total_Count,Count_(Age_group_0-4),Count_(Age_group_5-17),Count_(Age_group_18-64),Count_(Age_group_65+)
2481,2012-10-21,2012,10,21,295.0,10.0,14.047619047619053,4.325396825396824,51.38888888888889,0.0,13.888888888888891,0.0,0.0,0.03275,6.533333333333334,334.0,81.0,76.0,148.0,29.0
2482,2012-10-22,2012,10,22,259.64285714285717,8.821428571428571,15.059523809523807,4.503968253968253,47.222222222222214,0.0,14.444444444444445,0.0,0.0,0.03325,7.2666666666666675,398.0,98.0,99.0,180.0,21.0
2483,2012-10-23,2012,10,23,180.35714285714286,3.7857142857142856,14.702380952380947,7.6190476190476195,64.58333333333336,0.0,15.555555555555555,0.0,0.03,0.011000000000000001,15.533333333333333,408.0,77.0,93.0,209.0,29.0
2484,2012-10-24,2012,10,24,26.551724137931036,6.379310344827586,14.616858237547884,12.528735632183906,89.55938697318007,0.0,14.444444444444445,0.0,0.0,0.015,9.971428571428572,321.0,61.0,71.0,164.0,25.0
2485,2012-10-25,2012,10,25,93.10344827586206,5.068965517241379,15.536398467432955,11.475095785440613,79.6934865900383,0.0,15.0,0.0,0.0,0.01875,5.416666666666668,299.0,64.0,61.0,152.0,22.0
2486,2012-10-26,2012,10,26,94.375,2.9375,17.10069444444445,12.378472222222221,76.3888888888889,0.0,16.11111111111111,0.0,0.0,0.01425,6.314285714285713,341.0,87.0,55.0,170.0,29.0
2487,2012-10-27,2012,10,27,102.5,4.714285714285714,17.51984126984127,12.559523809523814,75.19841269841268,0.0,16.666666666666668,0.0,0.0,0.035,6.853846153846153,264.0,58.0,64.0,125.0,17.0
2488,2012-10-28,2012,10,28,34.285714285714285,14.428571428571427,14.920634920634926,9.325396825396826,72.0238095238095,0.0,13.888888888888891,0.0,0.0,0.03125,2.728571428571428,316.0,71.0,79.0,144.0,22.0
2489,2012-10-29,2012,10,29,27.5,29.142857142857146,13.96825396825397,10.833333333333332,84.32539682539681,0.0,13.888888888888891,0.0,0.67,0.0315,3.975000000000001,239.0,38.0,41.0,126.0,34.0
2490,2012-10-30,2012,10,30,156.0,24.2,12.933333333333332,8.088888888888889,75.77777777777777,0.0,10.555555555555557,0.0,0.27,0.02266666666666667,4.15,417.0,66.0,89.0,206.0,56.0
2491,2012-10-31,2012,10,31,213.79310344827587,10.275862068965518,8.524904214559388,3.486590038314175,74.80842911877394,0.0,8.333333333333334,0.0,0.01,0.011666666666666669,4.32,367.0,71.0,64.0,188.0,44.0
2492,2012-11-01,2012,11,1,234.64285714285717,10.285714285714286,8.075396825396824,2.8968253968253963,74.10714285714286,0.0,8.333333333333334,0.0,0.0,0.0075,5.7,362.0,70.0,61.0,205.0,26.0
2493,2012-11-02,2012,11,2,261.7857142857143,11.25,9.384920634920633,2.2420634920634925,64.28571428571429,0.0,8.888888888888891,0.0,0.0,0.02525,4.171428571428572,296.0,47.0,56.0,172.0,21.0
2494,2012-11-03,2012,11,3,293.2142857142857,13.928571428571427,7.6984126984126995,-0.9920634920634924,56.54761904761904,0.0,7.777777777777778,0.0,0.0,0.0255,3.3000000000000003,285.0,46.0,66.0,155.0,18.0
2495,2012-11-04,2012,11,4,297.85714285714283,9.642857142857142,6.726190476190476,-1.011904761904762,61.30952380952379,0.0,7.222222222222222,0.0,0.0,0.02425,3.9625,338.0,46.0,65.0,200.0,27.0
2496,2012-11-05,2012,11,5,326.07142857142856,13.107142857142858,5.853174603174603,-3.432539682539683,53.57142857142857,0.0,4.4444444444444455,0.0,0.0,0.027250000000000003,4.763636363636363,370.0,65.0,55.0,217.0,33.0
2497,2012-11-06,2012,11,6,127.14285714285714,7.5357142857142865,2.5992063492063493,-7.202380952380954,50.992063492063494,0.0,2.7777777777777777,0.0,0.0,0.025,6.3500000000000005,283.0,34.0,40.0,176.0,33.0
2498,2012-11-07,2012,11,7,150.68965517241378,15.79310344827586,2.8352490421455947,-2.9501915708812243,71.07279693486588,0.06896551724137931,2.2222222222222223,4.3,1.12,0.026500000000000003,6.1375,277.0,38.0,50.0,171.0,18.0
2499,2012-11-08,2012,11,8,333.7931034482759,14.275862068965518,3.7164750957854413,-3.5440613026819925,63.69731800766285,1.1034482758620692,4.4444444444444455,0.4,0.06,0.019500000000000003,5.743750000000001,282.0,39.0,54.0,159.0,30.0
2500,2012-11-09,2012,11,9,308.92857142857144,13.892857142857142,6.825396825396825,-4.285714285714286,44.444444444444436,0.17857142857142858,7.222222222222222,0.0,0.0,0.0235,9.562500000000002,313.0,55.0,56.0,173.0,28.0
2501,2012-11-10,2012,11,10,257.5,6.892857142857142,8.690476190476192,1.6865079365079367,64.98015873015875,0.0,9.444444444444443,0.0,0.0,0.0105,21.7,245.0,35.0,46.0,147.0,17.0
2502,2012-11-11,2012,11,11,120.71428571428572,1.7857142857142858,11.646825396825395,6.646825396825397,75.0,0.0,13.888888888888891,0.0,0.0,0.0335,20.071428571428573,260.0,55.0,54.0,134.0,17.0
2503,2012-11-12,2012,11,12,104.0,3.2333333333333334,12.722222222222221,10.111111111111107,86.94444444444444,0.0,13.888888888888891,0.0,0.0,0.0295,12.875,279.0,53.0,51.0,153.0,22.0
2504,2012-11-13,2012,11,13,251.42857142857144,9.214285714285714,11.646825396825395,8.154761904761907,82.53968253968254,0.0,10.555555555555557,0.0,0.09,0.02425,5.525,299.0,54.0,59.0,155.0,31.0
2505,2012-11-14,2012,11,14,183.57142857142856,11.035714285714288,5.595238095238094,-2.7182539682539675,58.432539682539684,0.0,5.5555555555555545,0.0,0.0,0.02066666666666667,5.846666666666668,293.0,46.0,54.0,174.0,19.0
2506,2012-11-15,2012,11,15,92.5,8.678571428571429,4.424603174603175,-3.5912698412698405,59.920634920634924,0.0,4.4444444444444455,0.0,0.0,0.013000000000000001,7.737499999999999,309.0,44.0,60.0,174.0,31.0
2507,2012-11-16,2012,11,16,109.64285714285714,8.285714285714286,5.1388888888888875,-3.2539682539682526,58.03571428571427,0.0,5.5555555555555545,0.0,0.0,0.01125,10.15,289.0,59.0,50.0,157.0,23.0
2508,2012-11-17,2012,11,17,93.57142857142857,7.892857142857142,5.992063492063493,-2.003968253968255,60.01984126984128,0.0,7.222222222222222,0.0,0.0,0.0255,11.76666666666667,261.0,59.0,56.0,129.0,17.0
2509,2012-11-18,2012,11,18,82.5,7.5,5.634920634920635,-0.03968253968253962,71.62698412698413,0.0,6.666666666666668,0.0,0.0,0.02475,13.7,286.0,58.0,53.0,166.0,9.0
2510,2012-11-19,2012,11,19,27.857142857142854,9.607142857142858,5.912698412698412,1.4484126984126984,77.67857142857143,0.0,5.5555555555555545,0.0,0.0,0.019250000000000003,10.475,392.0,72.0,98.0,198.0,24.0
2511,2012-11-20,2012,11,20,104.28571428571428,6.75,5.813492063492063,0.07936507936507932,71.32936507936508,0.0,7.777777777777778,0.0,0.0,0.01675,12.526666666666667,311.0,71.0,72.0,146.0,22.0
2512,2012-11-21,2012,11,21,81.07142857142857,6.571428571428571,7.063492063492066,-0.11904761904761894,64.08730158730158,0.0,8.333333333333334,0.0,0.0,0.024000000000000004,15.4125,260.0,63.0,48.0,130.0,19.0
2513,2012-11-22,2012,11,22,40.0,4.821428571428571,7.142857142857144,0.8730158730158729,68.65079365079366,0.0,8.888888888888891,0.0,0.0,0.026000000000000002,14.499999999999998,227.0,58.0,46.0,109.0,14.0
2514,2012-11-23,2012,11,23,77.14285714285714,2.7857142857142856,8.015873015873014,4.642857142857143,83.13492063492063,0.0,10.0,0.0,0.01,0.02225,15.246666666666664,370.0,79.0,77.0,188.0,26.0
2515,2012-11-24,2012,11,24,259.64285714285717,12.928571428571427,6.706349206349207,-2.0634920634920637,56.150793650793645,0.0,6.111111111111112,0.0,0.0,0.02575,5.0875,341.0,72.0,80.0,170.0,19.0
2516,2012-11-25,2012,11,25,267.77777777777777,13.407407407407408,3.0246913580246915,-8.024691358024691,44.753086419753075,0.0,2.7777777777777777,0.0,0.0,0.02875,8.037500000000001,382.0,89.0,97.0,172.0,24.0
2517,2012-11-26,2012,11,26,271.7857142857143,8.321428571428571,4.0476190476190474,-6.091269841269841,49.30555555555554,0.0,5.5555555555555545,0.0,0.0,0.02075,12.053333333333335,465.0,92.0,127.0,225.0,21.0
2518,2012-11-27,2012,11,27,49.31034482758621,6.655172413793102,2.9118773946360164,-2.1839080459770104,74.52107279693486,0.0,3.333333333333333,0.0,0.53,0.010000000000000002,12.9,392.0,74.0,100.0,195.0,23.0
2519,2012-11-28,2012,11,28,298.2142857142857,9.321428571428571,3.035714285714286,-2.2619047619047623,73.51190476190479,0.0,3.333333333333333,0.0,0.0,0.019000000000000003,10.742857142857142,355.0,70.0,89.0,172.0,24.0
2520,2012-11-29,2012,11,29,244.64285714285717,9.607142857142858,2.341269841269841,-5.1388888888888875,62.59920634920633,0.0,3.888888888888889,0.0,0.0,0.01175,17.25,333.0,61.0,71.0,177.0,24.0
2521,2012-11-30,2012,11,30,158.57142857142858,5.678571428571429,4.285714285714286,-3.1349206349206336,62.8968253968254,0.0,5.5555555555555545,0.0,0.0,0.017,17.7,337.0,73.0,69.0,170.0,25.0
2522,2012-12-01,2012,12,1,27.5,11.5,4.186507936507936,0.4960317460317461,81.54761904761905,0.0,3.888888888888889,0.0,0.0,0.018500000000000003,10.55714285714286,317.0,76.0,67.0,149.0,25.0
2523,2012-12-02,2012,12,2,110.34482758620688,4.8965517241379315,6.168582375478928,5.0,94.15708812260536,0.0,8.333333333333334,0.0,0.04,0.0075000000000000015,22.11333333333333,437.0,77.0,124.0,206.0,30.0
2524,2012-12-03,2012,12,3,221.42857142857144,5.7142857142857135,11.468253968253968,7.916666666666666,82.24206349206351,0.0,12.777777777777779,0.0,0.0,0.01475,21.928571428571423,445.0,99.0,120.0,189.0,37.0
