Date,Borough,Total Count ,Count (Age group 0 - 4) ,Count (Age group 5 - 17) ,Count (Age group 18 - 64) ,Count (Age group 65+) 
10/07/07,Queens,20,8,6,6,0
10/07/07,Staten Island,3,0,1,2,0
10/07/07,Unknown,12,5,5,2,0
10/08/07,Bronx,95,29,22,40,4
10/08/07,Brooklyn,82,29,18,31,4
10/08/07,Manhattan,57,11,13,28,5
10/08/07,Queens,29,7,9,11,2
10/08/07,Staten Island,6,0,1,4,1
10/08/07,Unknown,9,2,4,3,0
10/09/07,Bronx,97,25,24,40,8
10/09/07,Brooklyn,103,25,38,39,1
10/09/07,Manhattan,67,11,21,32,3
10/09/07,Queens,33,5,12,13,3
10/09/07,Staten Island,6,1,2,1,2
10/09/07,Unknown,4,0,0,3,1
10/10/07,Bronx,101,35,17,48,1
10/10/07,Brooklyn,81,19,18,43,1
10/10/07,Manhattan,56,15,13,22,6
10/10/07,Queens,32,12,4,14,2
10/10/07,Staten Island,9,2,1,3,3
10/10/07,Unknown,10,3,4,3,0
10/11/07,Bronx,64,13,12,34,5
10/11/07,Brooklyn,75,18,13,42,2
10/11/07,Manhattan,49,12,9,24,4
10/11/07,Queens,25,10,5,7,3
10/11/07,Staten Island,6,0,1,4,1
10/11/07,Unknown,5,1,2,2,0
10/12/07,Bronx,64,12,19,32,1
10/12/07,Brooklyn,78,19,22,35,2
10/12/07,Manhattan,35,9,7,16,3
10/12/07,Queens,19,7,5,6,1
10/12/07,Staten Island,5,0,1,3,1
10/12/07,Unknown,7,2,1,4,0
10/13/07,Bronx,58,13,18,26,1
10/13/07,Brooklyn,74,23,16,32,3
10/13/07,Manhattan,51,9,18,21,3
10/13/07,Queens,25,2,7,14,2
10/13/07,Staten Island,4,2,0,1,1
10/13/07,Unknown,12,0,6,6,0
10/14/07,Bronx,88,23,13,42,10
10/14/07,Brooklyn,104,37,17,45,5
10/14/07,Manhattan,59,12,13,27,7
10/14/07,Queens,43,10,17,15,1
10/14/07,Staten Island,6,2,0,4,0
10/14/07,Unknown,14,4,2,7,1
10/15/07,Bronx,124,27,34,50,13
10/15/07,Brooklyn,109,24,28,55,2
10/15/07,Manhattan,73,10,25,33,5
10/15/07,Queens,42,8,15,18,1
10/15/07,Staten Island,7,1,1,4,1
10/15/07,Unknown,6,2,0,3,1
10/16/07,Bronx,114,26,30,52,6
10/16/07,Brooklyn,115,27,28,56,4
10/16/07,Manhattan,57,13,14,29,1
10/16/07,Queens,36,6,12,15,3
10/16/07,Staten Island,11,0,0,8,3
10/16/07,Unknown,5,1,3,1,0
10/17/07,Bronx,101,30,19,47,5
10/17/07,Brooklyn,94,26,32,34,2
10/17/07,Manhattan,52,11,7,31,3
10/17/07,Queens,37,9,8,17,3
10/17/07,Staten Island,6,2,0,4,0
10/17/07,Unknown,14,4,4,6,0
10/18/07,Bronx,89,24,20,39,6
10/18/07,Brooklyn,95,24,29,39,3
10/18/07,Manhattan,40,9,8,20,3
10/18/07,Queens,40,11,15,12,2
10/18/07,Staten Island,8,2,3,3,0
10/18/07,Unknown,8,4,1,2,1
10/19/07,Bronx,69,24,10,27,8
10/19/07,Brooklyn,74,17,21,32,4
10/19/07,Manhattan,42,8,13,17,4
10/19/07,Queens,33,7,13,10,3
10/19/07,Staten Island,6,0,0,5,1
10/19/07,Unknown,12,5,4,3,0
10/20/07,Bronx,68,20,22,25,1
10/20/07,Brooklyn,74,19,26,25,4
10/20/07,Manhattan,53,18,12,19,4
10/20/07,Queens,44,15,12,16,1
10/20/07,Staten Island,2,0,1,1,0
10/20/07,Unknown,10,5,2,3,0
10/21/07,Bronx,113,28,36,42,6
10/21/07,Brooklyn,95,22,33,36,4
10/21/07,Manhattan,66,13,17,29,7
10/21/07,Queens,36,10,12,13,1
10/21/07,Staten Island,12,1,2,7,2
10/21/07,Unknown,12,4,3,5,0
10/22/07,Bronx,115,26,35,52,1
10/22/07,Brooklyn,124,31,50,37,6
10/22/07,Manhattan,87,14,31,38,4
10/22/07,Queens,46,15,13,16,2
10/22/07,Staten Island,6,1,2,2,1
10/22/07,Unknown,14,5,5,4,0
10/23/07,Bronx,66,17,19,25,5
10/23/07,Brooklyn,90,25,36,25,4
10/23/07,Manhattan,61,12,18,29,2
10/23/07,Queens,38,11,10,14,3
10/23/07,Staten Island,5,1,1,1,2
10/23/07,Unknown,6,0,3,3,0
10/24/07,Bronx,90,18,31,37,4
10/24/07,Brooklyn,109,40,30,38,1
10/24/07,Manhattan,62,9,26,23,4
10/24/07,Queens,29,10,7,11,1
10/24/07,Staten Island,3,0,0,3,0
10/24/07,Unknown,7,3,2,2,0
10/25/07,Bronx,103,28,24,46,5
10/25/07,Brooklyn,92,27,22,38,5
10/25/07,Manhattan,53,10,13,29,1
10/25/07,Queens,33,16,8,6,3
10/25/07,Staten Island,6,1,1,3,1
10/25/07,Unknown,14,2,4,8,0
10/26/07,Bronx,70,16,13,39,2
10/26/07,Brooklyn,92,24,22,42,4
10/26/07,Manhattan,49,12,13,21,3
10/26/07,Queens,34,6,11,13,4
10/26/07,Staten Island,5,2,0,2,1
10/26/07,Unknown,11,3,4,3,1
10/27/07,Bronx,74,20,19,33,2
10/27/07,Brooklyn,77,21,18,36,2
10/27/07,Manhattan,49,13,15,15,6
10/27/07,Queens,30,9,7,14,0
10/27/07,Staten Island,5,3,0,0,2
10/27/07,Unknown,10,3,1,6,0
10/28/07,Bronx,95,29,31,32,3
10/28/07,Brooklyn,98,30,29,38,1
10/28/07,Manhattan,47,13,15,18,1
10/28/07,Queens,37,10,15,11,1
10/28/07,Staten Island,10,2,3,4,1
10/28/07,Unknown,9,3,2,4,0
10/29/07,Bronx,157,41,49,59,7
10/29/07,Brooklyn,142,46,47,48,1
10/29/07,Manhattan,75,14,22,32,7
10/29/07,Queens,69,14,28,23,4
10/29/07,Staten Island,12,0,3,5,4
10/29/07,Unknown,13,5,5,3,0
10/30/07,Bronx,124,33,36,49,6
10/30/07,Brooklyn,113,27,27,47,12
10/30/07,Manhattan,58,11,14,31,2
10/30/07,Queens,49,15,14,17,3
10/30/07,Staten Island,14,1,3,8,2
10/30/07,Unknown,9,2,0,6,1
10/31/07,Bronx,123,28,35,52,8
10/31/07,Brooklyn,99,37,26,34,2
10/31/07,Manhattan,62,11,20,29,2
10/31/07,Queens,32,10,10,10,2
10/31/07,Staten Island,8,2,2,4,0
10/31/07,Unknown,7,3,1,2,1
11/01/07,Bronx,105,31,28,41,5
11/01/07,Brooklyn,91,27,26,33,5
11/01/07,Manhattan,52,8,16,27,1
11/01/07,Queens,45,13,12,17,3
11/01/07,Staten Island,6,0,0,2,4
11/01/07,Unknown,9,1,3,5,0
11/02/07,Bronx,112,27,40,37,8
11/02/07,Brooklyn,94,30,27,36,1
11/02/07,Manhattan,63,8,17,36,2
11/02/07,Queens,30,11,5,12,2
11/02/07,Staten Island,8,3,2,1,2
11/02/07,Unknown,12,4,2,5,1
11/03/07,Bronx,96,25,23,44,4
11/03/07,Brooklyn,93,26,28,37,2
11/03/07,Manhattan,58,16,15,27,0
11/03/07,Queens,35,7,17,9,2
11/03/07,Staten Island,13,2,2,6,3
11/03/07,Unknown,7,3,1,3,0
11/04/07,Bronx,118,36,38,39,4
11/04/07,Brooklyn,114,41,29,42,2
11/04/07,Manhattan,39,8,16,13,2
11/04/07,Queens,55,11,13,27,4
11/04/07,Staten Island,9,2,3,4,0
11/04/07,Unknown,12,4,2,6,0
11/05/07,Bronx,156,34,47,67,8
11/05/07,Brooklyn,137,41,35,59,2
11/05/07,Manhattan,73,17,21,32,3
11/05/07,Queens,59,13,20,20,6
11/05/07,Staten Island,17,3,4,7,3
11/05/07,Unknown,15,1,4,8,2
11/06/07,Bronx,114,37,26,45,6
11/06/07,Brooklyn,94,43,20,28,3
11/06/07,Manhattan,54,21,15,13,5
11/06/07,Queens,52,10,17,23,2
11/06/07,Staten Island,6,0,1,4,1
11/06/07,Unknown,13,5,1,6,1
11/07/07,Bronx,135,30,45,48,12
11/07/07,Brooklyn,117,26,36,48,7
11/07/07,Manhattan,66,13,12,35,6
11/07/07,Queens,50,19,13,15,3
11/07/07,Staten Island,10,1,3,6,0
11/07/07,Unknown,11,2,2,7,0
11/08/07,Bronx,124,34,27,56,7
11/08/07,Brooklyn,96,35,21,38,2
11/08/07,Manhattan,79,13,29,32,5
11/08/07,Queens,46,12,16,17,1
11/08/07,Staten Island,7,1,0,5,1
11/08/07,Unknown,10,2,2,6,0
11/09/07,Bronx,92,22,27,36,7
11/09/07,Brooklyn,80,26,16,38,0
11/09/07,Manhattan,66,12,15,34,5
11/09/07,Queens,38,12,8,14,4
11/09/07,Staten Island,6,2,1,3,0
11/09/07,Unknown,15,7,4,4,0
11/10/07,Bronx,87,25,11,44,6
11/10/07,Brooklyn,82,35,13,34,0
11/10/07,Manhattan,42,14,9,17,2
11/10/07,Queens,30,10,10,10,0
11/10/07,Staten Island,11,2,4,4,1
11/10/07,Unknown,11,2,5,4,0
11/11/07,Bronx,100,31,15,45,8
11/11/07,Brooklyn,80,31,16,32,1
11/11/07,Manhattan,64,13,14,37,0
11/11/07,Queens,50,19,11,18,2
11/11/07,Staten Island,3,0,1,2,0
11/11/07,Unknown,10,3,2,5,0
11/12/07,Bronx,142,39,36,61,6
11/12/07,Brooklyn,101,19,28,49,5
11/12/07,Manhattan,61,12,17,28,4
11/12/07,Queens,48,13,11,23,1
11/12/07,Staten Island,16,3,4,5,4
11/12/07,Unknown,18,5,6,6,1
11/13/07,Bronx,119,35,30,42,12
11/13/07,Brooklyn,116,35,35,45,1
11/13/07,Manhattan,62,14,16,30,2
11/13/07,Queens,46,5,20,20,1
11/13/07,Staten Island,11,4,3,4,0
11/13/07,Unknown,6,2,1,3,0
11/14/07,Bronx,110,30,31,40,9
11/14/07,Brooklyn,113,41,28,39,5
11/14/07,Manhattan,47,16,15,15,1
11/14/07,Queens,40,10,12,15,3
11/14/07,Staten Island,6,3,1,2,0
11/14/07,Unknown,7,2,1,3,1
11/15/07,Bronx,104,25,25,46,8
11/15/07,Brooklyn,82,29,21,29,3
11/15/07,Manhattan,56,11,15,28,2
11/15/07,Queens,41,20,5,12,4
11/15/07,Staten Island,11,1,3,4,3
11/15/07,Unknown,11,3,3,4,1
11/16/07,Bronx,89,30,15,33,10
11/16/07,Brooklyn,69,23,8,36,2
11/16/07,Manhattan,52,18,10,20,4
11/16/07,Queens,29,9,9,8,3
11/16/07,Staten Island,3,0,2,1,0
11/16/07,Unknown,11,3,3,5,0
11/17/07,Bronx,90,24,19,40,7
11/17/07,Brooklyn,91,38,16,35,2
11/17/07,Manhattan,51,24,6,16,5
11/17/07,Queens,38,10,13,14,1
11/17/07,Staten Island,5,1,1,2,1
11/17/07,Unknown,2,2,0,0,0
11/18/07,Bronx,106,24,31,45,6
11/18/07,Brooklyn,100,30,33,36,1
11/18/07,Manhattan,53,14,10,25,4
11/18/07,Queens,38,6,18,10,4
11/18/07,Staten Island,9,1,5,2,1
11/18/07,Unknown,15,4,4,6,1
11/19/07,Bronx,96,21,19,49,6
11/19/07,Brooklyn,123,34,48,39,2
11/19/07,Manhattan,69,8,15,39,7
11/19/07,Queens,62,17,19,22,4
11/19/07,Staten Island,16,1,5,7,3
11/19/07,Unknown,14,4,4,5,1
11/20/07,Bronx,98,32,19,43,4
11/20/07,Brooklyn,73,26,18,26,3
11/20/07,Manhattan,54,15,12,24,3
11/20/07,Queens,30,8,12,10,0
11/20/07,Staten Island,13,3,5,4,1
11/20/07,Unknown,9,3,1,5,0
11/21/07,Bronx,82,19,26,29,8
11/21/07,Brooklyn,75,32,17,23,3
11/21/07,Manhattan,40,9,7,20,4
11/21/07,Queens,42,18,11,11,2
11/21/07,Staten Island,10,2,2,4,2
11/21/07,Unknown,6,3,1,2,0
11/22/07,Bronx,54,23,10,19,2
11/22/07,Brooklyn,61,31,12,15,3
11/22/07,Manhattan,34,15,4,15,0
11/22/07,Queens,47,16,11,15,5
11/22/07,Staten Island,5,1,0,3,1
11/22/07,Unknown,14,4,3,6,1
11/23/07,Bronx,89,24,15,44,6
11/23/07,Brooklyn,127,44,29,49,5
11/23/07,Manhattan,61,15,13,28,5
11/23/07,Queens,56,21,9,21,5
11/23/07,Staten Island,7,2,0,5,0
11/23/07,Unknown,14,4,5,5,0
11/24/07,Bronx,107,35,26,41,5
11/24/07,Brooklyn,99,31,21,44,3
11/24/07,Manhattan,63,11,17,31,4
11/24/07,Queens,37,12,9,12,4
11/24/07,Staten Island,13,3,1,8,1
11/24/07,Unknown,16,6,5,5,0
11/25/07,Bronx,81,25,17,34,4
11/25/07,Brooklyn,80,22,24,31,3
11/25/07,Manhattan,44,10,12,21,1
11/25/07,Queens,47,14,14,17,2
11/25/07,Staten Island,10,1,2,6,1
11/25/07,Unknown,12,4,5,3,0
11/26/07,Bronx,118,43,19,50,6
11/26/07,Brooklyn,125,36,29,55,5
11/26/07,Manhattan,65,15,19,29,2
11/26/07,Queens,25,8,5,10,2
11/26/07,Staten Island,12,1,2,5,4
11/26/07,Unknown,12,2,3,7,0
11/27/07,Bronx,86,29,19,31,7
11/27/07,Brooklyn,82,25,25,30,2
11/27/07,Manhattan,69,15,20,28,6
11/27/07,Queens,41,11,12,17,1
11/27/07,Staten Island,10,2,0,7,1
11/27/07,Unknown,10,2,2,6,0
11/28/07,Bronx,94,36,16,38,4
11/28/07,Brooklyn,126,44,29,46,7
11/28/07,Manhattan,64,6,20,32,6
11/28/07,Queens,36,14,9,12,1
11/28/07,Staten Island,14,3,2,5,4
11/28/07,Unknown,7,3,0,4,0
11/29/07,Bronx,90,25,22,36,6
11/29/07,Brooklyn,89,28,20,37,4
11/29/07,Manhattan,51,13,15,18,5
11/29/07,Queens,44,17,10,15,2
11/29/07,Staten Island,8,3,2,3,0
11/29/07,Unknown,11,3,4,4,0
11/30/07,Bronx,80,13,19,42,6
11/30/07,Brooklyn,82,28,12,39,3
11/30/07,Manhattan,32,6,7,14,5
11/30/07,Queens,28,10,5,12,1
11/30/07,Staten Island,7,1,3,3,0
11/30/07,Unknown,5,0,1,4,0
12/01/07,Bronx,91,23,17,44,7
12/01/07,Brooklyn,82,29,13,37,3
12/01/07,Manhattan,46,8,12,23,3
12/01/07,Queens,28,9,4,10,5
12/01/07,Staten Island,11,2,0,8,1
12/01/07,Unknown,7,3,1,3,0
12/02/07,Bronx,93,32,16,42,3
12/02/07,Brooklyn,91,26,30,32,3
12/02/07,Manhattan,50,15,12,23,0
12/02/07,Queens,32,10,9,9,4
12/02/07,Staten Island,4,0,0,4,0
12/02/07,Unknown,5,0,3,2,0
12/03/07,Bronx,125,36,31,51,7
12/03/07,Brooklyn,112,34,35,39,4
12/03/07,Manhattan,72,17,20,29,6
12/03/07,Queens,45,12,14,17,2
12/03/07,Staten Island,8,2,3,2,1
12/03/07,Unknown,11,4,4,3,0
12/04/07,Bronx,110,44,21,40,5
12/04/07,Brooklyn,67,23,16,27,1
12/04/07,Manhattan,68,14,14,33,7
12/04/07,Queens,45,14,11,17,3
12/04/07,Staten Island,12,2,2,6,2
12/04/07,Unknown,8,2,1,5,0
12/05/07,Bronx,111,29,20,56,6
12/05/07,Brooklyn,105,35,19,49,2
12/05/07,Manhattan,57,13,16,26,2
12/05/07,Queens,33,7,7,19,0
12/05/07,Staten Island,6,1,1,3,1
12/05/07,Unknown,7,3,1,3,0
12/06/07,Bronx,91,27,18,33,13
12/06/07,Brooklyn,91,20,27,38,6
12/06/07,Manhattan,57,14,12,28,3
12/06/07,Queens,36,9,8,14,5
12/06/07,Staten Island,11,2,3,5,1
12/06/07,Unknown,6,4,1,1,0
12/07/07,Bronx,90,33,15,35,7
12/07/07,Brooklyn,72,17,20,33,2
12/07/07,Manhattan,46,6,9,27,4
12/07/07,Queens,35,9,7,17,2
12/07/07,Staten Island,7,0,1,6,0
12/07/07,Unknown,8,2,1,5,0
12/08/07,Bronx,75,17,14,35,9
12/08/07,Brooklyn,77,24,17,35,1
12/08/07,Manhattan,60,21,11,23,5
12/08/07,Queens,29,8,8,10,3
12/08/07,Staten Island,11,4,1,5,1
12/08/07,Unknown,13,2,5,6,0
12/09/07,Bronx,112,38,20,46,8
12/09/07,Brooklyn,101,28,33,35,5
12/09/07,Manhattan,61,11,14,30,6
12/09/07,Queens,31,9,5,14,3
12/09/07,Staten Island,3,0,1,2,0
12/09/07,Unknown,10,4,2,4,0
12/10/07,Bronx,119,36,31,45,7
12/10/07,Brooklyn,121,27,47,44,3
12/10/07,Manhattan,79,23,20,36,0
12/10/07,Queens,62,15,19,26,2
12/10/07,Staten Island,15,4,4,4,3
12/10/07,Unknown,18,3,3,12,0
12/11/07,Bronx,109,29,26,48,6
12/11/07,Brooklyn,92,22,29,38,3
12/11/07,Manhattan,55,15,16,23,1
12/11/07,Queens,30,8,9,13,0
12/11/07,Staten Island,15,3,3,8,1
12/11/07,Unknown,12,3,3,5,1
12/12/07,Bronx,131,44,30,49,8
12/12/07,Brooklyn,93,27,16,45,5
12/12/07,Manhattan,65,12,14,37,2
12/12/07,Queens,45,10,12,18,5
12/12/07,Staten Island,8,1,0,4,3
12/12/07,Unknown,11,4,3,3,1
12/13/07,Bronx,90,26,19,40,5
12/13/07,Brooklyn,79,31,15,30,3
12/13/07,Manhattan,48,11,9,22,6
12/13/07,Queens,25,5,12,6,2
12/13/07,Staten Island,7,2,0,1,4
12/13/07,Unknown,8,1,2,5,0
12/14/07,Bronx,80,19,11,41,9
12/14/07,Brooklyn,76,28,16,27,5
12/14/07,Manhattan,53,9,18,23,3
12/14/07,Queens,35,11,6,17,1
12/14/07,Staten Island,13,1,1,10,1
12/14/07,Unknown,7,2,0,5,0
12/15/07,Bronx,78,22,24,25,7
12/15/07,Brooklyn,81,31,20,29,1
12/15/07,Manhattan,40,9,5,21,5
12/15/07,Queens,36,14,6,12,4
12/15/07,Staten Island,6,2,1,3,0
12/15/07,Unknown,7,3,1,3,0
12/16/07,Bronx,92,29,31,28,3
12/16/07,Brooklyn,69,22,16,30,1
12/16/07,Manhattan,43,9,8,23,3
12/16/07,Queens,42,12,13,13,4
12/16/07,Staten Island,8,0,1,4,3
12/16/07,Unknown,17,6,5,5,1
12/17/07,Bronx,124,34,20,57,12
12/17/07,Brooklyn,97,30,29,36,2
12/17/07,Manhattan,53,10,17,22,4
12/17/07,Queens,39,13,11,14,1
12/17/07,Staten Island,9,2,3,3,1
12/17/07,Unknown,17,1,5,11,0
12/18/07,Bronx,103,25,23,51,4
12/18/07,Brooklyn,100,22,30,45,3
12/18/07,Manhattan,66,12,20,29,5
12/18/07,Queens,38,8,10,16,4
12/18/07,Staten Island,4,0,0,2,2
12/18/07,Unknown,12,5,2,5,0
12/19/07,Bronx,84,22,17,40,5
12/19/07,Brooklyn,81,24,20,35,2
12/19/07,Manhattan,53,11,11,28,3
12/19/07,Queens,29,10,4,13,2
12/19/07,Staten Island,7,0,1,2,4
12/19/07,Unknown,5,1,1,3,0
12/20/07,Bronx,76,19,12,40,5
12/20/07,Brooklyn,94,27,18,45,4
12/20/07,Manhattan,43,7,10,22,4
12/20/07,Queens,32,8,4,15,5
12/20/07,Staten Island,6,1,1,4,0
12/20/07,Unknown,9,3,0,6,0
12/21/07,Bronx,69,14,10,39,6
12/21/07,Brooklyn,60,18,7,29,6
12/21/07,Manhattan,50,9,8,27,6
12/21/07,Queens,35,13,7,11,4
12/21/07,Staten Island,8,2,0,6,0
12/21/07,Unknown,8,5,1,1,1
12/22/07,Bronx,79,26,17,34,2
12/22/07,Brooklyn,60,13,13,33,1
12/22/07,Manhattan,52,12,12,21,7
12/22/07,Queens,25,9,4,9,3
12/22/07,Staten Island,7,1,1,2,3
12/22/07,Unknown,8,3,1,3,1
12/23/07,Bronx,79,22,19,32,6
12/23/07,Brooklyn,86,28,30,26,2
12/23/07,Manhattan,48,14,9,21,4
12/23/07,Queens,33,8,8,16,1
12/23/07,Staten Island,5,2,1,2,0
12/23/07,Unknown,16,10,3,2,1
12/24/07,Bronx,75,20,14,37,4
12/24/07,Brooklyn,66,16,16,31,3
12/24/07,Manhattan,51,15,14,16,6
12/24/07,Queens,32,14,5,12,1
12/24/07,Staten Island,7,0,0,2,5
12/24/07,Unknown,10,8,0,2,0
12/25/07,Bronx,79,21,14,39,5
12/25/07,Brooklyn,69,18,10,34,7
12/25/07,Manhattan,57,8,14,27,8
12/25/07,Queens,37,10,11,11,5
12/25/07,Staten Island,9,0,2,3,4
12/25/07,Unknown,15,2,6,6,1
12/26/07,Bronx,99,17,18,59,5
12/26/07,Brooklyn,109,26,18,62,3
12/26/07,Manhattan,63,10,9,42,2
12/26/07,Queens,41,7,8,22,4
12/26/07,Staten Island,8,0,2,4,2
12/26/07,Unknown,11,3,1,4,3
12/27/07,Bronx,99,15,15,58,10
12/27/07,Brooklyn,81,23,13,41,4
12/27/07,Manhattan,58,18,10,26,4
12/27/07,Queens,42,13,5,22,2
12/27/07,Staten Island,8,1,2,3,2
12/27/07,Unknown,13,7,4,2,0
12/28/07,Bronx,81,28,6,38,9
12/28/07,Brooklyn,64,17,16,30,1
12/28/07,Manhattan,53,18,4,22,9
12/28/07,Queens,33,8,3,22,0
12/28/07,Staten Island,6,0,2,2,2
12/28/07,Unknown,12,6,2,3,1
12/29/07,Bronx,68,21,14,28,5
12/29/07,Brooklyn,74,20,15,38,1
12/29/07,Manhattan,35,8,4,22,1
12/29/07,Queens,34,10,4,18,2
12/29/07,Staten Island,6,2,0,1,3
12/29/07,Unknown,11,4,4,3,0
12/30/07,Bronx,79,19,19,38,3
12/30/07,Brooklyn,82,25,17,37,3
12/30/07,Manhattan,38,5,8,21,4
12/30/07,Queens,41,14,7,17,3
12/30/07,Staten Island,6,2,0,3,1
12/30/07,Unknown,6,2,1,3,0
12/31/07,Bronx,67,18,6,37,6
12/31/07,Brooklyn,72,18,13,36,5
12/31/07,Manhattan,48,6,4,31,7
12/31/07,Queens,29,6,0,18,5
12/31/07,Staten Island,7,2,0,1,4
12/31/07,Unknown,10,1,3,6,0
01/01/08,Bronx,63,21,9,30,3
01/01/08,Brooklyn,77,19,14,40,4
01/01/08,Manhattan,40,4,7,24,5
01/01/08,Queens,40,9,8,20,3
01/01/08,Staten Island,9,0,1,4,4
01/01/08,Unknown,16,6,2,8,0
01/02/08,Bronx,111,31,16,60,4
01/02/08,Brooklyn,103,23,21,53,6
01/02/08,Manhattan,52,6,6,33,7
01/02/08,Queens,43,12,4,20,7
01/02/08,Staten Island,12,1,0,5,6
01/02/08,Unknown,10,2,1,7,0
01/03/08,Bronx,65,16,6,40,3
01/03/08,Brooklyn,74,17,15,41,1
01/03/08,Manhattan,61,7,13,36,5
01/03/08,Queens,30,7,5,16,2
01/03/08,Staten Island,10,0,1,8,1
01/03/08,Unknown,11,0,1,8,2
01/04/08,Bronx,82,10,11,51,10
01/04/08,Brooklyn,72,15,13,43,1
01/04/08,Manhattan,49,8,9,28,4
01/04/08,Queens,35,6,1,20,8
01/04/08,Staten Island,9,1,0,7,1
01/04/08,Unknown,13,5,4,4,0
01/05/08,Bronx,66,8,10,39,9
01/05/08,Brooklyn,73,24,14,33,2
01/05/08,Manhattan,51,12,3,28,8
01/05/08,Queens,26,6,4,16,0
01/05/08,Staten Island,8,1,1,5,1
01/05/08,Unknown,9,2,0,7,0
01/06/08,Bronx,65,9,11,35,10
01/06/08,Brooklyn,66,16,12,37,1
01/06/08,Manhattan,46,8,4,30,4
01/06/08,Queens,32,10,5,15,2
01/06/08,Staten Island,7,0,2,5,0
01/06/08,Unknown,3,0,0,3,0
01/07/08,Bronx,83,11,18,45,9
01/07/08,Brooklyn,98,25,27,39,7
01/07/08,Manhattan,57,8,9,40,0
01/07/08,Queens,28,5,9,14,0
01/07/08,Staten Island,6,0,0,4,2
01/07/08,Unknown,4,1,0,2,1
01/08/08,Bronx,103,19,16,59,9
01/08/08,Brooklyn,66,17,12,32,5
01/08/08,Manhattan,61,7,9,37,8
01/08/08,Queens,39,8,7,18,6
01/08/08,Staten Island,10,1,2,3,4
01/08/08,Unknown,10,4,0,5,1
01/09/08,Bronx,93,10,13,61,7
01/09/08,Brooklyn,88,18,19,49,2
01/09/08,Manhattan,72,14,11,44,3
01/09/08,Queens,29,7,4,16,2
01/09/08,Staten Island,5,1,1,2,1
01/09/08,Unknown,8,2,1,4,1
01/10/08,Bronx,82,22,14,43,3
01/10/08,Brooklyn,72,20,16,33,3
01/10/08,Manhattan,42,5,8,26,3
01/10/08,Queens,25,3,4,13,5
01/10/08,Staten Island,8,0,0,6,2
01/10/08,Unknown,10,2,2,6,0
01/11/08,Bronx,71,17,13,35,5
01/11/08,Brooklyn,64,13,13,32,6
01/11/08,Manhattan,43,9,6,23,5
01/11/08,Queens,31,6,7,15,3
01/11/08,Staten Island,11,0,2,6,3
01/11/08,Unknown,6,2,0,4,0
01/12/08,Bronx,82,22,14,39,7
01/12/08,Brooklyn,56,12,7,35,2
01/12/08,Manhattan,41,7,6,23,5
01/12/08,Queens,33,6,4,17,6
01/12/08,Staten Island,6,0,1,4,1
01/12/08,Unknown,5,0,0,5,0
01/13/08,Bronx,73,20,10,38,5
01/13/08,Brooklyn,83,25,11,45,2
01/13/08,Manhattan,32,9,7,14,2
01/13/08,Queens,36,8,8,19,1
01/13/08,Staten Island,14,2,2,7,3
01/13/08,Unknown,6,0,3,3,0
01/14/08,Bronx,87,19,20,43,5
01/14/08,Brooklyn,104,27,30,44,3
01/14/08,Manhattan,51,6,12,28,5
01/14/08,Queens,47,12,12,21,2
01/14/08,Staten Island,10,0,1,3,6
01/14/08,Unknown,18,6,0,11,1
01/15/08,Bronx,93,18,17,52,6
01/15/08,Brooklyn,93,29,22,35,7
01/15/08,Manhattan,51,16,10,18,7
01/15/08,Queens,37,4,6,24,3
01/15/08,Staten Island,8,1,2,3,2
01/15/08,Unknown,13,4,4,3,2
01/16/08,Bronx,69,18,11,30,9
01/16/08,Brooklyn,83,17,23,40,3
01/16/08,Manhattan,66,9,12,39,6
01/16/08,Queens,39,6,8,21,4
01/16/08,Staten Island,13,2,1,8,2
01/16/08,Unknown,9,3,1,3,2
01/17/08,Bronx,73,9,17,40,7
01/17/08,Brooklyn,74,19,19,35,1
01/17/08,Manhattan,49,9,12,23,5
01/17/08,Queens,38,3,8,23,4
01/17/08,Staten Island,8,1,1,4,2
01/17/08,Unknown,7,0,3,4,0
01/18/08,Bronx,63,7,16,35,5
01/18/08,Brooklyn,83,27,12,39,5
01/18/08,Manhattan,50,7,11,28,4
01/18/08,Queens,27,8,5,10,4
01/18/08,Staten Island,8,0,0,6,2
01/18/08,Unknown,6,1,1,4,0
01/19/08,Bronx,47,17,3,25,2
01/19/08,Brooklyn,69,16,18,33,2
01/19/08,Manhattan,46,10,10,22,4
01/19/08,Queens,27,6,6,13,2
01/19/08,Staten Island,9,2,1,4,2
01/19/08,Unknown,7,1,1,5,0
01/20/08,Bronx,83,9,21,44,8
01/20/08,Brooklyn,63,15,24,23,1
01/20/08,Manhattan,31,5,6,20,0
01/20/08,Queens,43,11,7,20,5
01/20/08,Staten Island,11,1,2,5,3
01/20/08,Unknown,12,5,3,4,0
01/21/08,Bronx,89,25,17,34,10
01/21/08,Brooklyn,85,17,22,40,6
01/21/08,Manhattan,61,9,10,37,5
01/21/08,Queens,45,6,14,22,3
01/21/08,Staten Island,12,1,2,8,1
01/21/08,Unknown,9,4,2,3,0
01/22/08,Bronx,96,19,24,43,8
01/22/08,Brooklyn,113,24,31,55,3
01/22/08,Manhattan,62,5,17,35,5
01/22/08,Queens,47,12,13,19,3
01/22/08,Staten Island,10,1,1,8,0
01/22/08,Unknown,10,2,1,7,0
01/23/08,Bronx,109,15,38,44,11
01/23/08,Brooklyn,81,18,24,36,3
